frame,left_elbow_angle,right_elbow_angle,left_elbow_angle_smoothed,right_elbow_angle_smoothed
39,163.16093000041582,146.48238484014746,162.06856397358328,145.8161616043842
40,162.1866912392916,139.11008063628753,162.22217787174048,138.383138343817
41,162.71323639741564,135.37566270006707,162.5403364057994,129.900787216499
42,162.24987117214286,122.3724674482597,162.7671263298854,123.15128934647912
43,162.20429736315484,110.93393780865553,163.03716383511482,115.84911453486052
44,163.6345891494913,100.69861104411531,163.46000366508665,107.66493951835474
45,164.2210238760624,101.18001957247915,164.1813614142046,98.50635543193437
46,164.9987462433616,99.45385880736579,164.783070411045,88.434017581411
47,165.90125051738903,79.75399132390004,165.3629193969711,79.14451079356192
48,165.76648059143466,66.59580922395843,165.794739925998,69.32077028294638
49,165.9955816238828,53.92217202103169,166.05575694271704,59.391620937303884
50,166.07577806132656,47.95532284674443,166.39528082179456,49.091135006488194
51,166.38736329774466,43.55741369950395,166.69897497091318,41.11151524648112
52,167.14804026092378,36.69777385018149,167.03273673233517,36.36858870131705
53,167.64465045952028,33.32890532112725,167.39039294459337,32.46893971508118
54,168.02098838898414,28.52644810302302,167.69800236113684,29.70406631426445
55,168.04662450763092,28.012743282860374,168.144347653625,27.10379803875982
56,168.30045748344844,26.274868179141798,168.51790700760898,25.78540296563574
57,168.4031127657464,26.93052765019188,168.84036311723563,26.880549053317388
58,169.2941165282012,29.18406893834324,169.28695818115978,25.985077543681328
59,170.2418737481678,31.89294355008796,169.70387076905678,32.14390001342801
60,169.8586548758033,41.063303103558965,170.03228382781447,43.071065351940206
61,170.31113951839836,52.09249943476586,170.2673610925142,60.25958526978342
62,170.7274672095801,60.18684343395106,170.38801634845933,78.77878814249392
63,170.0972008955379,115.56941612363576,170.37497497758005,99.12738892649695
64,170.0124983978469,124.21415568069,170.2920059259805,116.42984671325287
65,170.29624544072777,139.2904746459557,170.2615830238847,126.62753479696227
66,170.12757570103358,132.34447625135033,170.09081643599453,135.54416525518516
67,169.99044871177603,140.68341187325038,169.80044977830806,140.789181787189
68,169.4097261119413,127.43445364949564,169.42040099072943,139.54366902670554
69,169.05186456458148,129.1672621959607,168.89259820402566,141.2604882561194
70,168.25979837649712,158.73350123027777,168.23056636536342,141.80556001635375
71,167.1903620609403,149.30941588002116,167.51250203513422,143.76789553605593
72,166.50806189569155,142.6155181186644,166.89196546222186,144.93618942821166
73,166.08314627721032,143.57313048002638,166.48538558123744,147.09505770907953
74,164.98166540172386,142.08479978754966,165.46419155684075,146.65727720032376
75,163.87333353922352,146.6911009306814,163.7388761410309,145.21388517380427
76,162.64715008116244,150.70367138125226,160.63821348777967,148.56166335918988
77,159.1323465335244,151.39335521512643,156.8246995947541,152.2794286480796
78,151.73653293625958,154.603667772587,152.5156918128691,155.42939055345758
79,146.65508359718436,159.77027184179434,148.1152655695222,158.9363288854958
80,140.87379908241843,162.517379412086,143.88169118306627,161.71176905110053
81,140.4417058744545,164.12329327757126,140.32588027856002,164.52503857236212
82,137.27074304534165,165.98305501872355,137.34812136050996,167.25858714681854
83,134.32081697552533,169.7312889718732,134.81605380734914,172.9226208785845
84,130.59793650780355,169.76806916447202,130.4701624815417,168.61943247427195
85,125.60722015097133,170.83587675043938,122.84231845158712,163.45264545930917
86,116.14064484307129,169.51286349131573,112.80392189433897,159.9795905305355
87,104.6673675618438,166.76659453072588,101.60278515178976,158.6386131020096
88,85.68980592042126,117.2218880609598,88.52784491801586,158.56886346416462
89,69.86517206287597,162.59890573778884,75.53125225109804,160.36152182038376
90,64.65230092278203,176.44589059223296,63.06934023464799,163.46589946249802
91,54.337333214123554,178.11849080642807,52.376165378161765,167.98764151056886
92,42.120579410987716,174.10148003270135,44.2552698160987,173.43307956073576
93,39.44087287843109,174.52926049745466,38.717567366462035,179.5193547831466
94,32.29320601133633,173.8066918115943,34.39538534291407,175.62737964966988
95,30.667837895157373,173.7552543729009,30.748527280352167,174.16898284418508
96,30.719247710341275,173.92114292506088,29.169649267831048,173.79274140699906
97,28.692744314009058,174.95424464954488,28.628234602762525,173.88245339003254
98,28.195901169389675,173.80599146251942,28.099790350675455,173.65268044567807
99,27.982384307105963,173.000461853177,28.3563907490489,173.2414285133492
100,28.88624550846581,171.8103119572434,28.501481835879286,172.46669926733335
101,28.60587655808959,171.97269341203355,28.575952026518344,171.4796444995315
102,29.32931083943637,171.34976242996834,28.756061484255753,170.52026931237424
103,29.746934552322088,169.18842985775007,29.11185257235129,169.79025867224107
104,30.48221791429382,168.54357151930247,29.58992002903021,169.3229158396427
105,30.125293901703376,168.4907441740003,30.77799474700652,168.65469305465263
106,32.37711096858766,168.62518125727243,33.20493734779716,167.19882074374593
107,37.24929312595079,168.00073466924013,37.70567959085369,172.62757701908484
108,41.74255384574678,168.10898082259365,43.74351079869644,171.87283550157832
109,50.88257838999715,165.9515707493958,50.975488316899,161.4647296458939
110,60.63800136457728,167.31589852054714,60.071019392416346,155.10357862328652
111,72.42255941589043,177.13309388025908,70.26247550273278,150.49766895855444
112,78.55570777859425,110.64286490874633,80.1115128944104,147.454406148972
113,88.68884309125761,113.59789861749333,90.61234369116215,146.34029501225558
114,102.23335735312428,173.6185570855715,99.9275698888934,147.67391304589933
115,109.79966827406062,161.37599007584137,107.96950052587536,150.74568994289706
116,114.40306105711744,160.2414042195158,115.86784515097364,156.1764539933132
117,125.81820437569048,162.35264553332723,123.31947004345908,166.45801122987044
118,126.93357295231463,163.3513504079713,129.64525213030709,166.68114951728478
119,133.22211889126203,161.8857036553234,135.1100045601839,162.09745571674617
120,143.36284945195268,162.8035758971471,140.70287223248337,163.53715276478428
121,145.36454336955578,164.2061196721666,145.96326534767698,163.325989264987
122,150.53489470926473,162.3726047261912,150.13054259309794,161.93135478191238
123,153.71808438887825,161.61641495220354,154.31686821728272,160.02325549888212
124,157.21151845441193,156.92410320643972,156.9218129771,157.24706645099292
125,159.32514376180177,152.73162133296864,158.38179318399025,153.62062734498417
126,159.87922274128687,148.42023392643236,159.82335588230973,149.39439238246536
127,160.5031759551582,144.92568625222478,160.51784342853944,144.70589169878116
128,160.27306575126596,138.83370678165767,161.0138148074521,140.130442157507
129,160.59664586230772,134.60678516871317,161.20541535160456,134.52930720259812
130,161.64378128127126,126.99054409774908,161.46452986669095,125.67067912910292
131,162.31608251509067,118.23272361799391,161.77308975018772,115.07558039212826
132,162.35300076600285,109.46423789277401,162.09507692420618,103.8929644628901
133,162.25811669047079,89.61241140223473,162.60849496730089,93.16777160581339
134,162.89929986444142,73.13454956239927,163.14944376673031,82.02701214520302
135,163.18553886250794,71.55124942062994,163.66533967801493,71.89832821467867
136,164.31429585803514,67.23283175612652,164.2947786969438,63.09883772097277
137,165.49784577781205,59.669052383823924,164.89793019336838,56.33852946473934
138,165.83079512046166,48.22834758912078,165.46879717828887,51.36342978438832
139,165.94004519381258,44.66766441234574,166.0134902999705,45.88712065760703
140,166.31671472648193,40.21880811918534,166.5138837677332,39.28507766156112
141,166.3516868310885,36.38773885356727,166.9088513493005,33.62531270255997
142,167.45094470746784,28.888810205983127,167.42509083228157,29.250757960959568
143,168.2957577497773,24.37049532510164,167.9781335142917,25.865741927533705
144,168.4309088886771,22.420311396143045,168.41948108989027,22.933105819174365
145,168.98952809451185,21.796854900476635,168.77271598403763,21.4762747127672
146,169.5206495844552,22.313188540474474,169.05773023213393,21.823883244019008
147,168.96897958844536,23.876295826655724,169.3017542446423,24.683257640566268
148,169.1510922896328,28.593248961040032,169.73724840105325,29.017526408909994
149,170.02431886721652,34.194188085902745,170.3665218281969,34.85524193909549
150,170.72896056510868,42.494768667389515,170.8817150396315,42.30012626549848
151,171.78572396624384,52.479107648860435,171.38937282838435,50.36507441846409
152,172.3250542262464,60.647452752848686,171.7677084581343,61.21686534279203
153,172.0026472232434,71.78790060877323,171.70268371777462,73.95358400214799
154,170.93203681933684,83.76944651667871,171.15456611584585,87.29697120590717
155,170.65894977348077,95.90908571481653,170.3275180430804,99.19909963795497
156,169.35700145406093,118.31907283044409,169.39140622541126,109.42249904702985
157,168.19911932611325,124.26266383008775,168.59306001317685,118.12829103019952
158,167.45601038806103,125.15011745957176,167.99793749138962,125.07356233927618
159,167.4833546419944,124.85467661674839,168.1396329596523,130.69293504850995
160,167.60801017747988,131.21402586352175,168.191176736993,135.08166481082972
161,167.47801442516035,138.55003047162248,167.7026715864753,138.21427594191394
